,date,home_team,away_team,home_goals,away_goals,home_xG,away_xG,season,home_attack,home_defence,away_attack,away_defence
39,2017-09-11 20:00:00,West Ham,Huddersfield,2,0,1.94969,0.339338,2017,1.0,1.0,1.556137207519587,0.694390887664196
40,2017-09-15 20:00:00,Bournemouth,Brighton,2,1,1.39529,0.874276,2017,0.41121741307958626,1.7981341433706277,0.490377919241209,0.7531447532806319
41,2017-09-16 12:30:00,Crystal Palace,Southampton,0,1,2.03243,1.11428,2017,0.6293603155166426,1.2388052937042509,0.7294487698184027,1.055533627790491
42,2017-09-16 15:00:00,Watford,Manchester City,0,6,0.803933,3.99349,2017,0.847280312990298,1.6341315689794902,1.6643253680470609,0.23845355993174486
43,2017-09-16 15:00:00,Newcastle United,Stoke,2,1,2.6598,0.675783,2017,1.1705432909828128,1.329467008125708,0.5758843239630278,0.5500607540415108
44,2017-09-16 15:00:00,West Bromwich Albion,West Ham,0,0,0.781891,0.266344,2017,0.7098063176947783,0.6227022774373541,0.8298379466865267,1.7332174418851065
45,2017-09-16 15:00:00,Huddersfield,Leicester,1,1,0.700349,1.24181,2017,0.6146434418243386,0.8103372981465546,0.9781040360143772,1.8202712869077131
46,2017-09-16 15:00:00,Liverpool,Burnley,1,1,2.18727,0.334402,2017,2.1750568985896916,0.5551980242666119,0.5657323958600485,1.2775791199858793
47,2017-09-16 17:30:00,Tottenham,Swansea,0,0,1.17894,0.154074,2017,1.0614966437420457,0.6756097295468027,0.6161943147802192,1.0485303467993623
48,2017-09-17 13:30:00,Chelsea,Arsenal,0,0,0.762129,1.42208,2017,0.875804843425211,0.40714227527730973,0.8643778043695559,1.4395422028497926
49,2017-09-17 16:00:00,Manchester United,Everton,4,0,3.28722,1.06298,2017,1.8816697971251732,0.5891825976742806,0.4207791742851509,0.8092876359968599
50,2017-09-23 12:30:00,West Ham,Tottenham,2,3,0.67667,1.45327,2017,1.3302696514148904,0.30848418881489037,2.054299173500406,0.6093170470976278
51,2017-09-23 15:00:00,Burnley,Huddersfield,0,0,0.369454,0.312561,2017,0.6212219502390999,1.076395011852451,0.9376752572849211,1.0132031333440032
52,2017-09-23 15:00:00,Manchester City,Crystal Palace,5,0,5.72543,0.611018,2017,1.478469411512243,0.5713459759481959,1.1099585886910264,1.1305983730400764
