,Model,Season,Log Loss,Accuracy,Brier_score
0,Base Model,all,0.9819191987424903,53.35526315789474,0.5812008195327337
1,Base Model,2017,1.0202845202311523,50.78947368421053,0.606627085330484
2,Base Model,2018,0.8958818629318758,59.473684210526315,0.5234676457556119
3,Base Model,2019,0.9829524866408849,51.84210526315789,0.5825175158819957
4,Base Model,2020,1.0285579251660484,51.31578947368421,0.6121910311628437
5,Weighted Model,all,0.9797585745248852,53.223684210526315,0.5795276495646112
6,Weighted Model,2017,1.0231535507294216,50.526315789473685,0.6080552148448561
7,Weighted Model,2018,0.9006035262605852,59.210526315789465,0.5277877205611614
8,Weighted Model,2019,0.9913815453404626,51.31578947368421,0.5865927219036425
9,Weighted Model,2020,1.0038956757690713,51.84210526315789,0.5956749409487846
10,Opposition factor Model,all,0.9809989308587859,53.289473684210535,0.5801795653357059
11,Opposition factor Model,2017,1.0262577867649842,50.526315789473685,0.6096224301795753
12,Opposition factor Model,2018,0.900062200981927,59.210526315789465,0.5272424682379971
13,Opposition factor Model,2019,0.9904780137470102,51.31578947368421,0.5858719069993972
14,Opposition factor Model,2020,1.0071977219412223,52.10526315789473,0.5979814559258543
15,Form Model,all,0.983605532369951,53.0921052631579,0.5824665103871706
16,Form Model,2017,1.026827731989129,48.421052631578945,0.6095812474229919
17,Form Model,2018,0.9113171218926718,59.473684210526315,0.5346074657013227
18,Form Model,2019,0.9916080558060948,51.05263157894737,0.5878787551473174
19,Form Model,2020,1.0046692197919083,53.421052631578945,0.5977985732770503
20,DC Base Model,all,1.0024625444750035,52.5,0.5885168963413332
21,DC Base Model,2017,1.0590341426799563,47.63157894736842,0.6164319072220446
22,DC Base Model,2018,0.9255364387080687,58.15789473684211,0.5380100599735335
23,DC Base Model,2019,0.9949187973090611,52.89473684210526,0.587455832485859
24,DC Base Model,2020,1.0303607992029282,51.31578947368421,0.6121697856838959
25,DC Weighted Model,all,1.0040144144054461,52.03947368421053,0.5898842948018086
26,DC Weighted Model,2017,1.061546989737114,46.8421052631579,0.6179872933765975
27,DC Weighted Model,2018,0.9291645058279805,58.684210526315795,0.5422067898704287
28,DC Weighted Model,2019,1.0042993290900823,50.78947368421053,0.5930878374036567
29,DC Weighted Model,2020,1.0210468329666074,51.84210526315789,0.6062552585565516
30,DC Opposition Factor Model,all,1.00497919755372,52.368421052631575,0.5903746833397236
31,DC Opposition Factor Model,2017,1.0633121258595126,47.368421052631575,0.6190353933346945
32,DC Opposition Factor Model,2018,0.9292654542695339,59.73684210526316,0.541878936365739
33,DC Opposition Factor Model,2019,1.0048730356252804,50.78947368421053,0.593170902041275
34,DC Opposition Factor Model,2020,1.0224661744605523,51.578947368421055,0.6074135016171862
35,DC Form Model,all,1.011141325367894,51.71052631578947,0.5957229558544678
36,DC Form Model,2017,1.0723843144030782,46.31578947368421,0.6239849284664434
37,DC Form Model,2018,0.944326244859219,57.36842105263158,0.5530688206448674
38,DC Form Model,2019,1.0067339459360516,51.84210526315789,0.597236624059284
39,DC Form Model,2020,1.0211207962732278,51.31578947368421,0.6086014502472762
