Test Season,Model,Accuracy,Precision_H,Recall_H,F1_H,Precision_D,Recall_D,F1_D,Precision_A,Recall_A,F1_A,Log Loss,Brier Score,Home Wins,Draws,Away Wins
2018-19,Baseline (Home Win),0.4763157894736842,0.4763157894736842,1.0,0.6452762923351159,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2018-19,Most Frequent Outcome,0.4763157894736842,0.4763157894736842,1.0,0.6452762923351159,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2018-19,Logistic Regression,0.5815789473684211,0.5730337078651685,0.8453038674033149,0.6830357142857143,0.35294117647058826,0.08450704225352113,0.13636363636363635,0.6458333333333334,0.484375,0.5535714285714286,0.9518420276781787,0.5517313175687301,267.0,17.0,96.0
2018-19,Decision Tree,0.4421052631578947,0.5423728813559322,0.5303867403314917,0.5363128491620112,0.20388349514563106,0.29577464788732394,0.2413793103448276,0.51,0.3984375,0.4473684210526316,19.26900156768711,1.1157894736842104,177.0,103.0,100.0
2018-19,Random Forest,0.4868421052631579,0.5656565656565656,0.6187845303867403,0.5910290237467019,0.2235294117647059,0.2676056338028169,0.24358974358974358,0.5567010309278351,0.421875,0.48,1.695928985111483,0.7142852631578949,198.0,85.0,97.0
2019-20,Baseline (Home Win),0.45263157894736844,0.45263157894736844,1.0,0.6231884057971014,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2019-20,Most Frequent Outcome,0.45263157894736844,0.45263157894736844,1.0,0.6231884057971014,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2019-20,Logistic Regression,0.5026315789473684,0.5394736842105263,0.7151162790697675,0.615,0.375,0.03260869565217391,0.06,0.4513888888888889,0.5603448275862069,0.5,0.9906161010106902,0.5912264916405787,228.0,8.0,144.0
2019-20,Decision Tree,0.43157894736842106,0.6194690265486725,0.4069767441860465,0.49122807017543857,0.2717391304347826,0.2717391304347826,0.2717391304347826,0.3942857142857143,0.5948275862068966,0.4742268041237113,14.929067353335011,0.9333333333333336,113.0,92.0,175.0
2019-20,Random Forest,0.48157894736842105,0.555,0.6453488372093024,0.5967741935483871,0.1935483870967742,0.06521739130434782,0.0975609756097561,0.4429530201342282,0.5689655172413793,0.4981132075471698,1.0635107697630746,0.6188186565894513,200.0,31.0,149.0
2020-21,Baseline (Home Win),0.37894736842105264,0.37894736842105264,1.0,0.549618320610687,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2020-21,Most Frequent Outcome,0.37894736842105264,0.37894736842105264,1.0,0.549618320610687,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2020-21,Logistic Regression,0.49473684210526314,0.4826086956521739,0.7708333333333334,0.5935828877005348,0.07692307692307693,0.012048192771084338,0.020833333333333332,0.5547445255474452,0.49673202614379086,0.5241379310344828,1.0638268618823925,0.629683174016781,230.0,13.0,137.0
2020-21,Decision Tree,0.3526315789473684,0.44360902255639095,0.4097222222222222,0.4259927797833935,0.14606741573033707,0.1566265060240964,0.1511627906976744,0.3924050632911392,0.40522875816993464,0.3987138263665595,20.022912629337608,1.2001461988304094,133.0,89.0,158.0
2020-21,Random Forest,0.4763157894736842,0.4897959183673469,0.6666666666666666,0.5647058823529412,0.2,0.0963855421686747,0.13008130081300814,0.5347222222222222,0.5032679738562091,0.5185185185185185,1.1204595228233325,0.6561209055978239,196.0,40.0,144.0
