Team,avg_HomeGoalsScored,avg_HomeGoalsConceded,avg_HomeShots,avg_HomeShotsConceded,avg_HomeShotsOnTarget,avg_HomeShotsOnTargetConceded,avg_HomeCorners,avg_HomeCornersConceded,avg_Home_goal_difference,avg_Home_ppg,avg_Home_win_percentage,avg_AwayGoalsConceded,avg_AwayGoalsScored,avg_AwayShotsConceded,avg_AwayShots,avg_AwayShotsOnTargetConceded,avg_AwayShotsOnTarget,avg_AwayCornersConceded,avg_AwayCorners,avg_Away_goal_difference,avg_Away_ppg,avg_Away_win_percentage,most_recent_season,seasons_count
Arsenal,2.1578947368421053,1.0877192982456139,13.578947368421051,12.929824561403509,5.368421052631579,4.692982456140351,6.771929824561403,5.12280701754386,1.0701754385964914,2.149122807017544,64.03508771929823,1.5175438596491226,1.2456140350877192,14.026315789473683,10.587719298245615,4.9298245614035086,3.6403508771929824,5.7105263157894735,5.0,-0.2719298245614034,1.1052631578947367,26.315789473684205,2019-20,3
Aston Villa,1.1578947368421053,1.5789473684210529,13.105263157894736,14.473684210526317,4.2105263157894735,4.7368421052631575,5.842105263157895,5.368421052631579,-0.4210526315789473,1.263157894736842,36.84210526315789,1.947368421052632,1.0,17.473684210526315,11.052631578947368,5.0,3.684210526315789,7.368421052631579,4.684210526315789,-0.9473684210526316,0.5789473684210527,10.526315789473683,2019-20,1
Bournemouth,1.3333333333333335,1.4912280701754388,11.596491228070175,13.903508771929824,3.7631578947368425,4.552631578947368,5.37719298245614,5.9561403508771935,-0.15789473684210525,1.289473684210526,33.33333333333333,1.9824561403508771,1.0964912280701755,14.74561403508772,10.578947368421053,5.201754385964912,3.6666666666666665,6.456140350877193,4.991228070175438,-0.8859649122807016,0.7807017543859649,22.807017543859644,2019-20,3
Brighton,1.070175438596491,1.4210526315789473,11.62280701754386,11.956140350877192,3.3421052631578947,4.175438596491228,5.078947368421053,4.93859649122807,-0.3508771929824561,1.236842105263158,29.824561403508767,1.526315789473684,0.868421052631579,16.228070175438596,10.271929824561404,4.956140350877193,3.3245614035087723,6.219298245614036,3.7719298245614037,-0.6578947368421052,0.8245614035087718,17.543859649122805,2019-20,3
Burnley,1.1929824561403508,1.3157894736842106,11.289473684210526,13.473684210526315,3.868421052631579,4.403508771929825,4.728070175438596,5.605263157894737,-0.12280701754385967,1.3684210526315788,39.473684210526315,1.5350877192982453,1.043859649122807,17.04385964912281,8.543859649122808,5.192982456140351,2.7894736842105265,7.087719298245615,3.692982456140351,-0.49122807017543846,1.2280701754385963,31.578947368421048,2019-20,3
Cardiff,1.105263157894737,2.0,12.105263157894736,13.36842105263158,3.5789473684210527,4.842105263157895,5.0,6.105263157894737,-0.894736842105263,1.0526315789473684,31.57894736842105,1.631578947368421,0.6842105263157895,16.68421052631579,9.842105263157896,6.315789473684211,3.0526315789473686,7.578947368421052,3.842105263157895,-0.9473684210526316,0.7368421052631579,21.052631578947366,2018-19,1
Chelsea,1.736842105263158,0.7719298245614035,17.56140350877193,7.464912280701755,6.412280701754385,2.333333333333333,7.008771929824562,3.56140350877193,0.9649122807017545,2.008771929824561,59.64912280701755,1.6666666666666665,1.7280701754385965,10.403508771929825,14.833333333333334,4.026315789473684,4.859649122807017,3.807017543859649,5.280701754385966,0.06140350877192982,1.6052631578947372,48.24561403508771,2019-20,3
Crystal Palace,0.9824561403508772,1.1666666666666665,13.578947368421051,11.456140350877194,3.921052631578948,4.026315789473684,6.114035087719298,5.219298245614034,-0.18421052631578938,1.1842105263157894,30.70175438596491,1.56140350877193,1.1228070175438596,15.333333333333332,9.096491228070176,5.0,3.1228070175438596,6.587719298245614,3.973684210526316,-0.43859649122807026,1.1929824561403506,32.45614035087719,2019-20,3
Everton,1.4035087719298245,1.1140350877192984,13.18421052631579,10.736842105263158,4.464912280701754,3.56140350877193,5.640350877192982,4.464912280701754,0.28947368421052616,1.7105263157894735,47.368421052631575,1.6754385964912282,1.0877192982456139,12.307017543859649,11.026315789473685,4.342105263157894,3.833333333333333,5.324561403508772,4.789473684210526,-0.5877192982456141,0.956140350877193,24.561403508771928,2019-20,3
Fulham,1.1578947368421053,1.894736842105263,14.421052631578949,13.31578947368421,4.526315789473684,5.684210526315789,5.368421052631579,5.0,-0.7368421052631577,1.1052631578947367,31.57894736842105,2.3684210526315788,0.631578947368421,17.36842105263158,9.421052631578949,6.157894736842105,3.3157894736842106,6.894736842105263,3.1052631578947367,-1.7368421052631575,0.2631578947368421,5.263157894736842,2018-19,1
