Team,avg_HomeGoalsScored,avg_HomeGoalsConceded,avg_HomeShots,avg_HomeShotsConceded,avg_HomeShotsOnTarget,avg_HomeShotsOnTargetConceded,avg_HomeCorners,avg_HomeCornersConceded,avg_Home_goal_difference,avg_Home_ppg,avg_Home_win_percentage,avg_AwayGoalsConceded,avg_AwayGoalsScored,avg_AwayShotsConceded,avg_AwayShots,avg_AwayShotsOnTargetConceded,avg_AwayShotsOnTarget,avg_AwayCornersConceded,avg_AwayCorners,avg_Away_goal_difference,avg_Away_ppg,avg_Away_win_percentage,most_recent_season,seasons_count
Arsenal,2.8421052631578947,1.0526315789473684,18.05263157894737,9.736842105263158,7.736842105263157,3.684210526315789,6.947368421052632,4.947368421052632,1.7894736842105263,2.4736842105263155,78.94736842105263,1.631578947368421,1.0526315789473684,12.526315789473683,13.157894736842104,4.157894736842105,4.578947368421052,4.526315789473684,4.894736842105263,-0.5789473684210527,0.8421052631578947,21.052631578947366,2017-18,1
Bournemouth,1.368421052631579,1.5789473684210529,14.052631578947368,13.473684210526317,4.315789473684211,4.473684210526316,6.052631578947368,4.421052631578948,-0.2105263157894736,1.3684210526315788,36.84210526315789,1.631578947368421,1.0,15.473684210526317,10.526315789473683,4.842105263157895,4.0,6.7368421052631575,5.421052631578948,-0.631578947368421,0.9473684210526316,21.052631578947366,2017-18,1
Brighton,1.263157894736842,1.3157894736842106,11.421052631578949,12.789473684210526,3.736842105263158,4.578947368421052,4.7368421052631575,5.157894736842105,-0.0526315789473685,1.526315789473684,36.84210526315789,1.5263157894736843,0.5263157894736842,16.42105263157895,8.736842105263158,4.947368421052632,2.473684210526316,6.842105263157895,3.842105263157895,-1.0,0.5789473684210527,10.526315789473683,2017-18,1
Burnley,0.8421052631578947,0.8947368421052632,10.894736842105264,13.842105263157896,3.473684210526316,4.2105263157894735,4.947368421052632,5.789473684210527,-0.0526315789473684,1.3684210526315788,36.84210526315789,1.1578947368421053,1.0526315789473684,15.736842105263158,9.052631578947368,4.421052631578948,3.210526315789474,6.842105263157895,3.842105263157895,-0.1052631578947369,1.4736842105263157,36.84210526315789,2017-18,1
Chelsea,1.5789473684210529,0.8421052631578947,18.73684210526316,8.842105263157896,6.947368421052632,2.6842105263157894,7.7894736842105265,3.684210526315789,0.736842105263158,1.947368421052632,57.89473684210527,1.1578947368421053,1.6842105263157894,11.0,13.157894736842104,3.631578947368421,4.631578947368421,4.684210526315789,4.315789473684211,0.5263157894736841,1.736842105263158,52.63157894736842,2017-18,1
Crystal Palace,1.5263157894736843,1.4210526315789471,14.052631578947368,10.842105263157896,4.789473684210527,4.2631578947368425,5.473684210526316,5.052631578947368,0.1052631578947369,1.3684210526315788,36.84210526315789,1.4736842105263157,0.8421052631578947,13.473684210526317,10.947368421052632,5.0,3.1578947368421053,5.947368421052632,5.526315789473684,-0.631578947368421,0.9473684210526316,21.052631578947366,2017-18,1
Everton,1.4736842105263157,1.1578947368421053,9.947368421052632,12.68421052631579,3.1578947368421053,4.2631578947368425,4.2631578947368425,5.2105263157894735,0.3157894736842104,1.7894736842105263,52.63157894736842,1.894736842105263,0.8421052631578947,15.842105263157896,9.0,5.368421052631579,3.263157894736842,5.947368421052632,3.631578947368421,-1.0526315789473684,0.7894736842105263,15.789473684210526,2017-18,1
Huddersfield,0.8421052631578947,1.3157894736842106,10.894736842105264,9.789473684210526,2.8947368421052637,4.052631578947368,5.368421052631579,4.368421052631579,-0.4736842105263159,1.2105263157894737,31.57894736842105,1.736842105263158,0.631578947368421,13.421052631578949,8.052631578947368,4.631578947368421,2.9473684210526314,6.631578947368421,3.3157894736842106,-1.105263157894737,0.7368421052631579,15.789473684210526,2017-18,1
Leicester,1.3157894736842106,1.1578947368421053,11.947368421052632,11.36842105263158,3.947368421052632,3.631578947368421,5.894736842105263,4.684210526315789,0.1578947368421053,1.4210526315789471,36.84210526315789,2.0,1.631578947368421,14.421052631578949,10.263157894736842,5.2105263157894735,3.842105263157895,6.684210526315789,4.789473684210527,-0.368421052631579,1.0526315789473684,26.31578947368421,2017-18,1
Liverpool,2.3684210526315788,0.5263157894736842,18.894736842105264,6.2105263157894735,7.105263157894737,1.947368421052632,7.052631578947368,3.263157894736842,1.8421052631578947,2.263157894736842,63.1578947368421,1.4736842105263157,2.0526315789473686,8.631578947368421,14.789473684210526,3.473684210526316,5.157894736842105,3.3684210526315788,5.052631578947368,0.5789473684210529,1.6842105263157894,47.368421052631575,2017-18,1
Man City,3.210526315789474,0.7368421052631579,18.26315789473684,5.578947368421052,7.947368421052632,2.1052631578947367,7.263157894736842,2.473684210526316,2.473684210526316,2.631578947368421,84.21052631578947,0.6842105263157895,2.3684210526315788,6.947368421052632,16.68421052631579,2.473684210526316,5.789473684210527,2.9473684210526314,7.684210526315789,1.6842105263157894,2.631578947368421,84.21052631578947,2017-18,1
