Date,HomeTeam,AwayTeam,Div,GoalsScoredDifferential,GoalsConcededDifferential,ShotsDifferential,ShotsConcededDifferential,ShotsOnTargetDifferential,ShotsOnTargetConcededDifferential,CornersDifferential,CornersConcededDifferential,_goal_differenceDifferential,_ppgDifferential,_win_percentageDifferential,FTR
2019-08-09,Liverpool,Norwich,2019-20,1.962719298245614,-1.2149122807017543,8.565789473684212,-10.100877192982459,3.594298245614034,-3.3486842105263155,3.1973684210526305,-3.655701754385965,3.087719298245614,1.9100877192982453,63.596491228070164,H
2019-08-10,West Ham,Man City,2019-20,-0.5789473684210531,0.7894736842105263,-3.684210526315791,5.052631578947366,-1.6491228070175437,2.0350877192982457,-2.192982456140351,2.3157894736842106,-1.368421052631579,-0.8596491228070173,-33.33333333333332,A
2019-08-10,Bournemouth,Sheffield United,2019-20,0.7521929824561406,-0.33771929824561386,3.2324561403508767,-3.3640350877193015,1.1206140350877192,-1.0328947368421053,1.5657894736842102,-1.3749999999999991,0.9999999999999998,0.769736842105263,23.245614035087716,D
2019-08-10,Burnley,Southampton,2019-20,0.1929824561403508,-0.3333333333333335,-0.280701754385964,0.01754385964912153,-0.2807017543859649,-0.49122807017543835,-0.5614035087719298,-0.17543859649122773,0.5263157894736843,0.4035087719298246,17.5438596491228,H
2019-08-10,Crystal Palace,Everton,2019-20,0.052631578947368585,-0.22807017543859653,4.421052631578949,-1.280701754385964,0.22807017543859676,-0.4736842105263146,1.8070175438596499,-1.0,0.2807017543859651,0.1929824561403507,7.01754385964912,D
2019-08-10,Watford,Brighton,2019-20,0.6491228070175438,-0.10526315789473695,3.298245614035089,-6.789473684210524,1.3859649122807012,-0.5438596491228074,1.280701754385965,-1.9649122807017552,0.7543859649122807,0.7719298245614034,26.315789473684205,A
2019-08-10,Tottenham,Aston Villa,2019-20,1.131578947368421,-0.8947368421052633,7.491228070175435,-5.92982456140351,2.5701754385964906,-1.359649122807017,2.263157894736841,-2.587719298245614,1.9473684210526314,1.3771929824561402,47.368421052631575,H
2019-08-11,Leicester,Wolves,2019-20,0.2807017543859649,-0.22807017543859653,3.5438596491228047,-1.8596491228070189,1.3157894736842097,-0.6140350877192988,1.2280701754385968,-0.7192982456140351,0.5087719298245614,0.21052631578947345,8.7719298245614,D
2019-08-11,Newcastle,Arsenal,2019-20,-0.2280701754385963,-0.5964912280701751,1.5087719298245599,-2.9122807017543852,-0.07017543859649145,-1.9298245614035086,0.8070175438596481,0.12280701754385959,0.3684210526315787,0.21052631578947367,10.526315789473678,A
2019-08-11,Man United,Chelsea,2019-20,0.42105263157894757,-0.29824561403508754,0.5438596491228065,0.12280701754385959,1.7017543859649118,0.03508771929824528,1.3508771929824563,0.35087719298245634,0.7192982456140352,0.4561403508771926,12.280701754385973,H
2019-08-17,Arsenal,Burnley,2019-20,1.3333333333333337,-0.7368421052631576,6.754385964912281,-7.122807017543861,3.1578947368421044,-1.6842105263157898,3.4210526315789473,-2.666666666666667,2.0701754385964914,1.3157894736842104,49.12280701754385,H
2019-08-17,Aston Villa,Bournemouth,2019-20,-0.1315789473684208,-0.6052631578947372,0.47368421052631327,-2.473684210526317,-0.570175438596491,-0.40350877192982537,-0.140350877192982,-1.1929824561403501,0.5263157894736842,0.24561403508771928,7.017543859649127,A
2019-08-17,Brighton,West Ham,2019-20,-0.0350877192982455,-0.298245614035088,1.1052631578947363,-4.561403508771928,-0.5263157894736845,-1.6842105263157894,0.7719298245614041,-1.4035087719298245,0.2631578947368423,0.3157894736842106,7.01754385964912,D
2019-08-17,Everton,Watford,2019-20,0.3333333333333335,-0.5438596491228067,2.157894736842106,-2.2982456140350873,0.5614035087719302,-0.9824561403508767,1.0350877192982448,-1.7017543859649118,0.87719298245614,0.7368421052631577,24.56140350877192,H
2019-08-17,Norwich,Newcastle,2019-20,0.16447368421052633,0.18640350877192957,1.3464912280701746,-2.3245614035087705,0.03728070175438658,-0.22807017543859676,1.1052631578947372,-1.7324561403508767,0.030701754385964952,0.1359649122807015,10.526315789473689,H
2019-08-17,Southampton,Liverpool,2019-20,-0.5789473684210529,0.5964912280701756,0.15789473684210265,3.1052631578947345,-0.7543859649122817,0.9122807017543861,-0.017543859649123306,1.666666666666667,-1.1754385964912282,-0.9649122807017543,-36.8421052631579,A
2019-08-17,Man City,Tottenham,2019-20,1.3157894736842106,-0.4912280701754387,6.9122807017543835,-5.999999999999999,3.19298245614035,-1.6842105263157894,2.4035087719298236,-3.087719298245613,1.807017543859649,1.0175438596491224,35.08771929824562,D
2019-08-18,Sheffield United,Crystal Palace,2019-20,-0.2916666666666665,-0.02412280701754388,0.9780701754385959,-2.8333333333333304,0.08991228070175517,-0.6315789473684212,0.5263157894736841,-1.4342105263157903,-0.21491228070175422,-0.21491228070175428,-7.01754385964912,H
2019-08-18,Chelsea,Leicester,2019-20,0.40350877192982515,-0.9473684210526314,6.614035087719296,-4.736842105263156,2.19298245614035,-1.8245614035087714,1.6315789473684212,-2.578947368421052,1.3508771929824563,0.8947368421052628,28.070175438596493,D
2019-08-19,Wolves,Man United,2019-20,-0.1754385964912284,-0.24561403508771895,1.385964912280702,-2.7017543859649127,-0.5438596491228065,-0.8596491228070176,0.9824561403508767,-0.526315789473685,0.07017543859649111,0.14035087719298223,3.5087719298245688,D
2019-08-23,Aston Villa,Everton,2019-20,-0.008771929824561209,0.00877192982456143,1.0526315789473681,-0.49122807017543835,-0.429824561403509,0.2631578947368425,0.4210526315789478,-0.6140350877192979,0.03508771929824578,0.1578947368421052,8.771929824561404,H
2019-08-24,Norwich,Chelsea,2019-20,-0.2916666666666665,0.18640350877193024,-2.7061403508771917,1.9210526315789487,-0.7521929824561404,0.5263157894736832,0.22807017543859676,1.1271929824561404,-0.42543859649122784,-0.5131578947368425,-17.543859649122798,A
2019-08-24,Brighton,Southampton,2019-20,0.1578947368421053,-0.3333333333333335,-0.4561403508771935,-2.5438596491228065,-0.6491228070175445,-0.8947368421052637,-0.2807017543859649,-0.9824561403508776,0.4912280701754386,0.45614035087719296,14.03508771929824,A
2019-08-24,Man United,Crystal Palace,2019-20,0.42105263157894757,-0.5087719298245617,4.228070175438594,-4.6315789473684195,2.5438596491228074,-1.1228070175438591,1.6491228070175437,-2.2105263157894743,0.9298245614035088,0.7543859649122808,22.80701754385965,A
2019-08-24,Sheffield United,Leicester,2019-20,-0.3793859649122804,-0.12938596491228038,0.504385964912279,-0.9385964912280684,-0.6644736842105265,0.03508771929824572,-0.17543859649122773,-1.223684210526315,-0.19736842105263153,-0.10964912280701755,-1.7543859649122773,A
2019-08-24,Watford,West Ham,2019-20,0.26315789473684204,-0.19298245614035103,2.280701754385966,-5.438596491228068,0.5087719298245612,-1.5087719298245617,0.912280701754387,-1.333333333333333,0.4561403508771932,0.42105263157894735,14.035087719298243,A
2019-08-24,Liverpool,Arsenal,2019-20,1.2807017543859651,-1.2456140350877192,6.298245614035089,-7.403508771929824,2.666666666666666,-3.122807017543859,2.4385964912280684,-2.0,2.526315789473684,1.4561403508771928,49.122807017543856,H
2019-08-25,Bournemouth,Man City,2019-20,-0.6140350877192984,0.7894736842105265,-3.2631578947368425,6.596491228070175,-1.5438596491228065,2.0350877192982457,-2.2280701754385968,2.8421052631578956,-1.4035087719298245,-0.9473684210526312,-36.842105263157876,A
2019-08-25,Tottenham,Newcastle,2019-20,0.9473684210526314,-0.491228070175439,6.807017543859644,-3.9298245614035068,2.2280701754385963,-0.7017543859649118,2.19298245614035,-2.75438596491228,1.43859649122807,1.1052631578947367,43.85964912280702,A
2019-08-25,Wolves,Burnley,2019-20,0.3859649122807016,-0.5438596491228067,5.807017543859649,-6.192982456140351,1.6842105263157894,-1.7543859649122813,2.350877192982456,-2.4912280701754392,0.9298245614035083,0.7017543859649122,26.315789473684212,D
2019-08-31,Southampton,Man United,2019-20,-0.35087719298245656,0.15789473684210575,0.8070175438596454,-2.157894736842108,-0.5438596491228074,-0.5789473684210522,0.9824561403508767,-0.017543859649123306,-0.5087719298245613,-0.5087719298245617,-24.561403508771924,D
2019-08-31,Chelsea,Sheffield United,2019-20,1.1381578947368425,-1.0394736842105263,8.162280701754387,-8.135964912280704,3.260964912280701,-2.787280701754386,2.986842105263158,-2.953947368421053,2.087719298245614,1.4188596491228065,44.29824561403508,D
2019-08-31,Crystal Palace,Aston Villa,2019-20,0.41228070175438614,-0.45614035087719307,5.491228070175438,-5.140350877192985,1.0438596491228074,-1.6228070175438591,2.5614035087719302,-1.973684210526316,0.7894736842105263,0.4473684210526314,12.280701754385962,H
2019-08-31,Leicester,Bournemouth,2019-20,0.03508771929824572,-1.035087719298246,3.2807017543859622,-4.350877192982457,0.6140350877192979,-1.4912280701754392,0.6140350877192988,-1.7368421052631566,1.070175438596491,0.5438596491228068,15.789473684210527,H
2019-08-31,Man City,Brighton,2019-20,2.3333333333333335,-0.9649122807017544,10.929824561403507,-12.210526315789473,5.087719298245614,-2.9122807017543857,3.842105263157894,-4.614035087719299,3.2982456140350873,2.1228070175438596,77.19298245614036,H
2019-08-31,Newcastle,Watford,2019-20,0.0,-0.4912280701754381,2.3157894736842106,-2.2105263157894726,0.5789473684210527,-1.5438596491228065,0.8245614035087714,-0.8245614035087714,0.4912280701754383,0.3157894736842104,14.035087719298236,D
2019-08-31,West Ham,Norwich,2019-20,0.7872807017543859,-0.3377192982456141,2.811403508771928,-4.90789473684211,1.015350877192982,-1.0328947368421053,1.600877192982456,-1.901315789473684,1.0350877192982453,0.8574561403508769,26.75438596491227,H
2019-08-31,Burnley,Liverpool,2019-20,-0.7543859649122808,0.5087719298245611,-2.315789473684209,5.456140350877192,-1.7543859649122808,1.5438596491228074,-1.2982456140350882,2.000000000000001,-1.263157894736842,-0.8421052631578947,-24.56140350877193,A
2019-09-01,Everton,Wolves,2019-20,0.5438596491228072,-0.19298245614035103,2.2105263157894726,-1.3157894736842124,0.5614035087719298,-0.19298245614035103,1.0701754385964906,-0.9649122807017552,0.7368421052631577,0.5789473684210524,21.05263157894736,H
2019-09-01,Arsenal,Tottenham,2019-20,0.666666666666667,-0.24561403508771928,2.280701754385966,-0.9649122807017552,1.2982456140350864,0.07017543859649145,1.7719298245614032,-0.7192982456140342,0.9122807017543861,0.6491228070175437,19.298245614035068,D
2019-09-14,Liverpool,Newcastle,2019-20,1.7719298245614035,-0.8070175438596495,7.859649122807017,-8.087719298245613,3.2280701754385963,-2.649122807017543,3.1228070175438587,-3.7894736842105257,2.5789473684210527,1.6315789473684208,59.64912280701754,H
2019-09-14,Brighton,Burnley,2019-20,0.0,-0.22807017543859653,2.5789473684210513,-5.859649122807017,0.31578947368420973,-1.24561403508772,1.350877192982456,-2.4561403508771935,0.22807017543859648,0.2280701754385963,7.017543859649123,D
2019-09-14,Man United,Leicester,2019-20,0.3333333333333337,-0.6140350877192982,3.7543859649122773,-2.7368421052631575,1.7894736842105257,-0.4561403508771922,0.9473684210526319,-1.9999999999999991,0.9473684210526315,0.8596491228070176,28.070175438596493,H
2019-09-14,Sheffield United,Southampton,2019-20,0.1820175438596492,-0.23464912280701733,0.25877192982456343,-2.4122807017543852,-0.1557017543859649,-0.719298245614036,-0.017543859649122417,-0.6447368421052637,0.4692982456140351,0.2587719298245613,12.280701754385962,A
2019-09-14,Tottenham,Crystal Palace,2019-20,0.49122807017543857,-0.7017543859649125,6.438596491228065,-4.438596491228067,2.280701754385965,-1.1052631578947363,1.614035087719297,-2.4561403508771935,1.1929824561403508,0.7543859649122808,26.315789473684212,H
2019-09-14,Wolves,Chelsea,2019-20,0.07017543859649122,-0.2280701754385961,-0.19298245614035103,1.4561403508771935,0.12280701754385959,-0.15789473684210575,0.9649122807017543,0.7543859649122808,0.2982456140350876,0.1578947368421051,3.5087719298245688,A
2019-09-14,Norwich,Man City,2019-20,-1.010964912280702,0.9057017543859651,-4.442982456140349,5.62280701754386,-2.260964912280701,2.140350877192982,-2.614035087719298,2.6184210526315788,-1.864035087719298,-1.3026315789473681,-45.61403508771927,H
2019-09-15,Bournemouth,Everton,2019-20,0.38596491228070207,-0.10526315789473673,2.140350877192983,0.5087719298245617,0.2807017543859649,0.1578947368421062,0.807017543859649,-0.36842105263157787,0.49122807017543846,0.5087719298245613,17.543859649122805,H
2019-09-15,Watford,Arsenal,2019-20,-0.05263157894736836,-0.24561403508771917,0.24561403508771917,-2.6491228070175428,0.017543859649122417,-0.7017543859649127,0.2982456140350873,-0.21052631578947345,0.1929824561403509,0.26315789473684204,8.771929824561404,D
2019-09-16,Aston Villa,West Ham,2019-20,-0.008771929824561209,-0.20175438596491224,1.9122807017543852,-4.456140350877192,-0.02631578947368407,-1.5087719298245617,1.0350877192982466,-1.0877192982456139,0.2456140350877195,0.12280701754385981,5.2631578947368425,D
2019-09-20,Southampton,Bournemouth,2019-20,0.05263157894736836,-0.6140350877192984,2.3157894736842053,-2.3684210526315823,0.2982456140350873,-0.807017543859649,0.5964912280701755,-1.0350877192982448,0.6666666666666665,0.26315789473684215,0.0,A
2019-09-21,Leicester,Tottenham,2019-20,-0.47368421052631593,-0.07017543859649122,1.7192982456140342,-1.473684210526315,0.14035087719298112,-0.4035087719298249,0.7192982456140351,-0.7368421052631566,-0.4035087719298247,-0.3333333333333337,-15.789473684210535,H
2019-09-21,Burnley,Norwich,2019-20,0.36622807017543857,-0.32017543859649145,1.5131578947368425,-1.9078947368421098,0.2785087719298245,-0.6995614035087714,0.6359649122807016,-1.12938596491228,0.5964912280701755,0.5592105263157894,19.736842105263154,H
2019-09-21,Everton,Sheffield United,2019-20,0.7872807017543861,-0.618421052631579,3.6184210526315788,-5.697368421052635,0.8399122807017543,-1.594298245614035,1.7763157894736836,-2.4100877192982457,1.3157894736842102,1.0855263157894735,35.52631578947367,A
2019-09-21,Man City,Watford,2019-20,1.8596491228070178,-0.9999999999999997,8.684210526315788,-7.368421052631578,4.368421052631579,-2.684210526315789,2.8771929824561395,-3.807017543859648,2.859649122807017,1.7192982456140349,63.15789473684211,H
2019-09-21,Newcastle,Brighton,2019-20,0.4736842105263158,-0.45614035087719285,4.56140350877193,-7.052631578947366,1.2982456140350873,-1.7719298245614032,1.7894736842105257,-1.6315789473684221,0.9298245614035086,0.719298245614035,28.07017543859648,D
2019-09-22,Crystal Palace,Wolves,2019-20,0.17543859649122817,-0.03508771929824572,4.105263157894736,-0.7719298245614041,0.7894736842105265,-0.26315789473684204,1.859649122807018,-0.5614035087719307,0.21052631578947392,-0.052631578947368585,-1.7543859649122844,D
2019-09-22,West Ham,Man United,2019-20,-0.10526315789473717,0.052631578947368585,-0.36842105263158054,-2.8070175438596507,-0.807017543859649,-0.2807017543859649,0.6666666666666661,-0.4561403508771935,-0.15789473684210528,-0.08771929824561453,-5.2631578947368425,H
2019-09-22,Arsenal,Aston Villa,2019-20,1.6578947368421058,-0.8245614035087719,5.491228070175438,-5.7192982456140395,2.728070175438596,-1.4999999999999996,2.982456140350877,-2.114035087719298,2.4035087719298245,1.6929824561403508,57.894736842105246,H
2019-09-22,Chelsea,Liverpool,2019-20,0.017543859649123084,-0.21052631578947378,4.333333333333336,-0.7719298245614024,1.2280701754385959,-0.5438596491228074,1.0526315789473681,0.17543859649122773,0.22807017543859665,0.017543859649122417,0.0,A
