Model,Accuracy,Log Loss,Brier Score,Precision_H,Recall_H,F1_H,Precision_D,Recall_D,F1_D,Precision_A,Recall_A,F1_A,Home Wins,Draws,Away Wins,Accuracy_std
Baseline (Home Win),0.4359649122807017,,,0.4359649122807017,1.0,0.6060276729143014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05077879171370633
Decision Tree,0.41403508771929826,17.773625594784853,1.0721734892787524,0.5385639899774733,0.4526154462955825,0.48781618343691563,0.20156126621870327,0.23736403052503952,0.2161873832496444,0.44664759420324457,0.477327257531365,0.452051521251698,423.0,287.0,430.0,0.044762634463765175
Logistic Regression,0.5263157894736842,1.0020949968570736,0.5908803277420248,0.5317053625759562,0.7770844932688052,0.6305395339954164,0.26828808446455504,0.04305464355892646,0.0723989898989899,0.5506555825898892,0.5138172845766659,0.5259031198686371,725.0,38.0,377.0,0.0480218094497228
Most Frequent Outcome,0.4359649122807017,,,0.4359649122807017,1.0,0.6060276729143014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05077879171370633
Random Forest,0.47719298245614034,1.2680517026848632,0.6676469781801422,0.533439276152844,0.6276401915856497,0.575134851474808,0.22513063383919396,0.16961046881955255,0.18398227287116176,0.5157487922705314,0.48654191082563286,0.49702760296579857,583.0,181.0,376.0,0.009241801537590136
