,Model,Season,Log Loss,Accuracy,Brier_score
0,Negative Binomial,all,0.9767728707626329,53.289473684210535,0.5785331922864184
1,Negative Binomial,2017,1.0074725241987919,50.78947368421053,0.60089318132983
2,Negative Binomial,2018,0.9060640780333543,59.210526315789465,0.5307987819292989
3,Negative Binomial,2019,0.9921337244884496,51.31578947368421,0.5873257601972893
4,Negative Binomial,2020,1.001421156329935,51.84210526315789,0.5951150456892557
5,Laplace,all,0.9755127759406886,53.289473684210535,0.5784981768444157
6,Laplace,2017,1.0151163066359157,50.78947368421053,0.6068359997916747
7,Laplace,2018,0.8984554314568913,59.210526315789465,0.5269380686083167
8,Laplace,2019,0.9862975474524043,51.31578947368421,0.5848157071374175
9,Laplace,2020,1.002181818217544,51.84210526315789,0.5954029318402535
10,Bayesian,all,0.9861102756223865,53.35526315789474,0.5831124443668501
11,Bayesian,2017,1.0331475851042626,49.73684210526316,0.6124291356821548
12,Bayesian,2018,0.907718960139517,57.631578947368425,0.532781471253353
13,Bayesian,2019,0.9934372033209911,52.63157894736842,0.5876558222913313
14,Bayesian,2020,1.0101373539247749,53.421052631578945,0.5995833482405613
