Model,Log Loss,Log Loss Std,Brier Score,Brier Score Std,Accuracy
Logistic Regression,1.0020949968570738,0.05686804516001915,0.5908803277420248,0.03897708112476957,0.5263157894736842
Weighted Model,0.9797585745248852,0.04708061897577333,0.5795276495646112,0.03082812230862354,53.223684210526315
Bayesian,0.9861102756223865,0.047404354197895814,0.5831124443668501,0.03035048682315545,53.35526315789474
Laplace,0.975512775940689,0.04564488770647545,0.5784981768444156,0.0307699484122932,53.28947368421052
Negative Binomial,0.9767728707626328,0.04118766775057051,0.5785331922864184,0.027976821455018043,53.28947368421052
